,steam_appid,categories,genres,header_image,short_description,meta
0,40960,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/40960/header.jpg?t=1635934007,"Tax, torture or treat your peasants! Rehabilitate criminals or sentence them to death? Decide as you enjoy jousting over a lavish banquet, all while under siege from the warmongering Lord Barclay.",
0,1129190,"['Single-player', 'Steam Achievements']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1129190/header.jpg?t=1653264578,"A twenty-dollar bill, four summers, fifteen years, and a one of a kind life. Create an experience that’s all your own in this near-fully customizable visual novel where you grow from childhood to adulthood with the lonely boy next door.",
0,670290,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'In-App Purchases', 'Stats']",Action,https://cdn.akamai.steamstatic.com/steam/apps/670290/header.jpg?t=1656026776,Real Pool 3D (Poolians) is one of the best online pool games. Play against the computer or real players all over the world! It supports 8 different types of pool games and team play mode.,
0,368340,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/368340/header.jpg?t=1651051331,"A retro-inspired 2D Action RPG set in the distant future. CrossCode combines 16-bit SNES-style graphics with butter-smooth physics, a fast-paced combat system, and engaging puzzle mechanics, served with a gripping sci-fi story.",86
0,442120,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/442120/header.jpg?t=1646928516,"Pinball FX3 is the biggest, most community focused pinball game ever created. Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition.",89
0,894020,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/894020/header.jpg?t=1648756013,Reaping souls of the dead and punching a clock might get monotonous but it's honest work for a Crow. The job gets lively when your assigned soul is stolen and you must track down a desperate thief to a realm untouched by death - where creatures grow far past their expiry.,85
0,979120,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/979120/header.jpg?t=1656003581,"In Autonauts you must build, create, and automate. Start by establishing a colony, crafting bots and teaching them via Scratch-style programming to build an ever evolving autonomous paradise of agriculture, industry and enlightenment.",80
0,621830,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']",Racing,https://cdn.akamai.steamstatic.com/steam/apps/621830/header.jpg?t=1592484786,"Take on all the challenges of the 2017 World Rally Championship: the official cars and drivers, 13 countries, 52 Special Stages, every surface, more powerful cars, more demanding physics, longer races, and an eSports mode to keep you on the edge of your seat all year round.",
0,1775390,,Animation & Modeling,https://cdn.akamai.steamstatic.com/steam/apps/1775390/header.jpg?t=1651599796,"Adobe Substance 3D Painter is the reference texturing app for 3D professionals and enthusiasts. From AAA Game Developers to Indies, from Feature Animation to Visual Effects studios, the industry uses Painter to bring their creations to life.",
0,247080,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/247080/header.jpg?t=1652909120,"Crypt of the NecroDancer is an award winning hardcore roguelike rhythm game. Move to the music and deliver beatdowns to the beat! Groove to the epic Danny Baranowsky soundtrack, or select songs from your own MP3 collection!",87
0,1775390,,Animation & Modeling,https://cdn.akamai.steamstatic.com/steam/apps/1775390/header.jpg?t=1651599796,"Adobe Substance 3D Painter is the reference texturing app for 3D professionals and enthusiasts. From AAA Game Developers to Indies, from Feature Animation to Visual Effects studios, the industry uses Painter to bring their creations to life.",
0,699170,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/699170/header.jpg?t=1656590444,"Fell Seal: Arbiter's Mark is a turn-based tactical RPG with a focus on storytelling and strategic battles. Unfold a mature story as you progress through hand-crafted scenarios, controlling your own group of Arbiters, with each character customizable from a wide selection of classes and abilities!",82
0,1043260,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1043260/header.jpg?t=1657982857,"Strategic battle sim in which you buy and train all kinds of gladiators. Expand your guild, build unique teams, plan out fight tactics, and see how far you can take them through the championships. Form allegiances through quests and events while exploring and influencing this epic fantasy world.",
0,304410,"['Single-player', 'Steam Achievements', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/304410/header.jpg?t=1597846142,"Hexcells Infinite is an ambient logic puzzle game for PC, Mac and Linux.",
0,410340,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Leaderboards', 'Includes level editor']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/410340/header.jpg?t=1647106733,Liftoff™ is a drone racing game that translates the rush of first-person view drone racing to the digital world. Join the biggest community for virtual FPV racing!,
0,515180,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/515180/header.jpg?t=1654101499,"Experience the job of a bus driver in a vast and freely drivable urban area. Drive original licensed city buses from the great brands: Mercedes-Benz, Setra, MAN, and IVECO BUS. Transport your passengers safely and punctually, either solo in single player mode, or in multiplayer mode.",67
0,597820,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']",Action,https://cdn.akamai.steamstatic.com/steam/apps/597820/header.jpg?t=1642580630,"BIOMUTANT® is an open-world, post-apocalyptic Kung-Fu fable RPG, with a unique martial arts styled combat system allowing you to mix melee, shooting and mutant ability action.",66
0,1028630,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']",Sports,https://cdn.akamai.steamstatic.com/steam/apps/1028630/header.jpg?t=1633317019,"A truly global cricket simulation from Big Ant Studios, the leading name in authentic, realistic cricket action, Cricket 19 allows you to take control of your team, from club through national level, and lead them to T20, ODI, or Test Match glory.",
0,792300,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/792300/header.jpg?t=1656934301,"The Beast Inside is a unique, gripping twist on thriller and survival horror. Immerse in the story of long-buried secrets, personal tragedies, and madness. Play as two protagonists bounded by dark heritage. Combat the enemies, solve riddles and experience real terror in the 3D-scanned environment.",74
0,626690,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet']",Action,https://cdn.akamai.steamstatic.com/steam/apps/626690/header.jpg?t=1646435298,Experience an original story where you are the protagonist in the world of Gun Gale Online. Create your own avatar and explore devastated lands while experiencing exciting third person shooting in this action RPG.,61
0,280790,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/280790/header.jpg?t=1637786796,A sandbox game as big as your imagination.,
0,443110,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications']",Action,https://cdn.akamai.steamstatic.com/steam/apps/443110/header.jpg?t=1654525444,"Wage war against players around the world with an unstoppable arsenal of powerful armored combat vehicles. Use 100+ vehicles to engage in furious PvP tank combat, complete co-op missions, and crush your enemies on breathtaking maps, from scorching deserts to neon-drenched urban jungles.",
