,steam_appid,categories,genres,header_image,short_description,meta
0,218680,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/218680/header.jpg?t=1454964134,"The best-selling, award-winning franchise is back – on your home PC in gorgeous HD for the first time.",75
0,3170,"['Single-player', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/3170/header.jpg?t=1656591129,King's Bounty: Armored Princess is a sequel to the critically acclaimed King’s Bounty: The Legend.,82
0,242700,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/242700/header.jpg?t=1592590114,"Injustice: Gods Among Us Ultimate Edition enhances the bold new franchise to the fighting game genre from NetherRealm Studios. Featuring six new playable characters, over 30 new skins, and 60 new S.T.A.R. Labs missions, this edition packs a punch.",79
0,1732190,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1732190/header.jpg?t=1636940085,"“FATAL FRAME / PROJECT ZERO: Maiden of Black Water” comes to Steam for the first time to celebrate the 20th anniversary of the horror-adventure series FATAL FRAME / PROJECT ZERO. The game is set on sacred Mt. Hikami, a site of many mysterious and terrifying incidents.",
0,572890,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/572890/header.jpg?t=1627314689,"Pikuniku is an absurdly wonderful puzzle-exploration game that takes place in a strange but playful world where not everything is as happy as it seems. Help peculiar characters overcome struggles, uncover a deep state conspiracy, and start a fun little revolution in this delightful dystopian adventure!",74
0,801630,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/801630/header.jpg?t=1634718695,"Pick one of 20 unique characters and fight your way through the dangers of the “Hollow Night”, and claim your victory over those who would get in your way. Experience intuitive and tight 2D fighter controls, with a splash of devastating combos and unique fighting styles to keep your appetite for battle sated!",
0,1038250,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1038250/header.jpg?t=1632995136,"DIRT 5 is a fun, amplified, off-road arcade racing experience created by Codemasters. Blaze a trail on routes across the world, covering gravel, ice, snow and sand, with a roster of cars ranging from rally icons to trucks, to GT heroes.",72
0,1716120,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1716120/header.jpg?t=1639100251,"The legendary monster training duology, “Monster Rancher” and “Monster Rancher 2”, is back!",
0,473690,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/473690/header.jpg?t=1646729216,"Absolver is an online multiplayer combat game where players are placed behind the mask of a Prospect under control of the Guides, the new rulers of the fallen Adal Empire, who will determine your worth in joining their elite corps of Absolvers.",75
0,1250650,"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/1250650/header.jpg?t=1617946601,"Ever wanted to get away from it all? Well here's your chance! In AI Shoujo, a tropical island paradise filled with beautiful girls is waiting for you! Customize NPCs with a rich suite of character creation tools, then watch as they think, learn, and love. Kick back, relax, and enjoy life in the sun!",
