,steam_appid,categories,genres,header_image,short_description,meta
0,251290,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/251290/header.jpg?t=1624575098,"Picking up shortly after The Legend of Heroes: Trails in the Sky, Estelle travels across Liberl in search of Joshua. The journey involves more than seeking loved ones, however, as the Bracer Guild also tasks her with unraveling the mysteries behind the newly unveiled Society of Ouroboros.",80
0,289520,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/289520/header.jpg?t=1656591243,"Time has come to join the dark side. Take a trip to the other side of Teana, to the part of the world that has yet remained unseen to the royal bounty hunters.",73
0,1222730,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1222730/header.jpg?t=1651767543,"Master the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Feel the adrenaline of first-person multiplayer space dogfights alongside your squadron, and buckle up in a thrilling STAR WARS™ story.",79
0,1571440,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1571440/header.jpg?t=1656639802,Lunch Lady is a 1-4 player online co-op survival horror game. The school final exams are coming up and the best idea you and your friends had was to steal the test answers. Find all 10 pages and don't get caught by the murderous Lunch Lady!,
0,1135810,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1135810/header.jpg?t=1646980068,"A CCG roguelite experience. Use your sideboard to swap in and out cards as you progress, perfecting the ultimate combos. Upgrade &amp; customize your cards with Void Stones, infusing them with new abilities to help defeat the insidious minions that stand between you and The Void.",
0,550900,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Trading Cards', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/550900/header.jpg?t=1652839908,"Become a part of the legendary oriental action MMO – now also on Steam! Put your skill to the test in epic PvE battles against dragons and sinister demon lords, enter merciless PvP duels and become a true martial arts master!",
0,1511460,"['Single-player', 'Steam Cloud']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1511460/header.jpg?t=1655488098,"A sci-fi city builder where the flow of resources goes through your city's transport infrastructure. Build an extrasolar efficiency utopia from nothing. Start mining operations, plan production, and lay down transportation routes to ensure a smooth supply chain.",
0,598330,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/598330/header.jpg?t=1656452707,"Build &amp; Manage Your Airport. An International Hub or a Regional Masterpiece -- it's up to you. Buy more land to scale out, or escalators to scale up with MULTIPLE FLOORS. You're in full control in this modern business management tycoon!",
0,757210,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Includes level editor', 'Remote Play Together']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/757210/header.jpg?t=1568366449,"Coordinate firefighters, police, medical personnel and specialists in the classic EMERGENCY 4 Deluxe! Now with the previously untranslated bonus missions in English.",71
0,378760,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Stats']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/378760/header.jpg?t=1653624623,"Pixel Starships is the world’s first total spaceship management game in an 8bit massive online universe. In Pixel Starships, you command every aspect of your ship from construction to battles in a single persistent world. PSS is Community driven and crowdfunded.",
0,604540,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/604540/header.jpg?t=1636644890,Empire of Sin is a new strategy game brought to you by Romero Games and Paradox Interactive that puts you at the heart of the ruthless criminal underworld of 1920s Prohibition-era Chicago.,
0,1016800,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1016800/header.jpg?t=1656072634,"Chernobylite is a science-fiction survival horror RPG. Set in the hyper-realistic, 3D-scanned wasteland of Chernobyl’s Exclusion Zone, explore a non-linear storyline in your search to uncover the truth of your tortured past.",75
0,234630,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'VR Support', 'Partial Controller Support', 'Steam Leaderboards']",Racing,https://cdn.akamai.steamstatic.com/steam/apps/234630/header.jpg?t=1625518420,"THE ULTIMATE DRIVER JOURNEY delivers the soul of motor racing in the world’s most beautiful, authentic, and technically-advanced racing game.",83
0,1120320,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1120320/header.jpg?t=1658237038,"Builder Simulator is the perfect game for those who want to build a house, from the ground up, one brick at a time. On easy, the game will guide and teach you by showing you full instruction, but on hard you will get no help - instead rely on your builder skills and make everything yourself.",
0,289950,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/289950/header.jpg?t=1657281017,"In Construction Simulator 2015, you take the controls of 16 realistic construction machines made by LIEBHERR, STILL and MAN with high-quality 3D graphics.",
0,829590,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor']",Action,https://cdn.akamai.steamstatic.com/steam/apps/829590/header.jpg?t=1651768792,"CryoFall is a sci-fi colony simulation survival game set on a forgotten planet in a distant future. Master technology, agriculture, trading, industry, cybernetics, exploration, and more!",
0,536270,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/536270/header.jpg?t=1627497373,"Survive your evolution in Neogene Africa starting 10 million years ago. Ancestors: The Humankind Odyssey is a third-person open world survival game where you Explore, Expand, and Evolve to advance your clan to the next generation in the exciting new adventure from Panache Digital Games.",
0,1341200,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1341200/header.jpg?t=1657631078,"A new release in the Empires series, featuring a mix of thrilling action and country capturing simulation. Experience the human drama of the Three Kingdoms in a way only Empires can provide. Fight exciting Castle Sieges and manipulate the country's Politics. Welcome to the Empires experience!",
0,1371630,"['Single-player', 'Steam Achievements', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1371630/header.jpg?t=1608220902,Lead your heroes in their neverending adventures! A minimalistic Idle game where combat is fully automated. It's up to you to make the most of that automation to reach extremely high numbers!,
0,1419160,"['Single-player', 'Partial Controller Support']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1419160/header.jpg?t=1656919536,"Fight for your freedom in a sprawling fantasy world caught between the living and the fallen. Hone your skills in a retro epic featuring puzzle platforming, metroidvania exploration and crunchy soulslike combat.",
0,1289310,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1289310/header.jpg?t=1620755466,Helltaker is a short game about sharply dressed demon girls.,
0,40300,"['Single-player', 'Steam Trading Cards']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/40300/header.jpg?t=1641301626,"The island Faranga needs a new hero, you! Delve into a gritty, raw and atmospheric fantasy world in which every action has a consequence. In the epic world of Risen, filled with mysterious earthquakes, fearsome monsters and unimaginable treasures, forge your path with the sword, learn the art of staff fighting or become a powerful mage.",77
0,770240,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'In-App Purchases', 'Partial Controller Support', 'Remote Play Together']",Sports,https://cdn.akamai.steamstatic.com/steam/apps/770240/header.jpg?t=1575564805,"Feel The Power Of Football with PES 2019 offering new licenses, photo-realism and new myClub!",80
0,1295500,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/1295500/header.jpg?t=1654791054,"Warhammer 40,000: Battlesector is a fast-paced turn-based strategy game set in the grimdark universe of the 41st Millennium. Pick your force, develop your army, field mighty heroes and fight for victory using superior strategy, awesome abilities, and devastating weaponry.",
0,1413480,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1413480/header.jpg?t=1625828625,"Reawaken your inner demon in a modernized version of the acclaimed ATLUS classic, Shin Megami Tensei III Nocturne HD Remaster.",
0,570780,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/570780/header.jpg?t=1636454844,《古剑奇谭：琴心剑魄今何在》（《古剑奇谭》）由网元圣唐旗下上海烛龙自主研发，于2010年7月正式发行，是国内首部全程配音的大型3D仙侠类单机角色扮演游戏。 游戏采用架空的历史设定，在其中融入了众多真实的人文地理风貌，通过合适的方式，将这些带有浓郁古韵和中国味的风物呈现在玩家的眼前。,
0,1621070,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1621070/header.jpg?t=1658000520,"DeadPoly is a polygon zombie survival looter shooter with base building and crafting. Your only goal is survival, everything else is optional.",
0,604830,"['Single-player', 'Steam Trading Cards']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/604830/header.jpg?t=1504894156,The main goal in All Alone is to find the way out of such forgotten town.,
0,1258780,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1258780/header.jpg?t=1656460867,"Devilishly addictive RPG presented by Nussygame, the developer of &quot;Buriedbornes&quot;!",
0,1482910,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Stats']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1482910/header.jpg?t=1643085658,"An endless Tower Defense game of epic Monsters vs evil War Machines. Unlock and upgrade tons of unique elemental Monsters (Water, Air, Earth, and Fire) to defend your home from an infinite swarm of robots. Strategize the most effective placement of Monsters to synergize their elemental abilities.",
0,287980,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/287980/header.jpg?t=1643317266,"Mini Metro is a strategy simulation game about designing a subway map for a growing city. Draw lines between stations and start your trains running. As new stations open, redraw your lines to keep them efficient. Decide where to use your limited resources. How long can you keep the city moving?",77
0,1178490,"['Single-player', 'Partial Controller Support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1178490/header.jpg?t=1651821292,"Paranormal HK is a first person horror game about Urban legends of Hong Kong, China. The story is about a crew of online supernatural channel“Beyond the Invisible” went to Kowloon Walled City to film a short movie for their latest episode and encountered something out of their expectations.",
0,1608290,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1608290/header.jpg?t=1656419294,"The Gnosia lie. Pretending to be human, they’ll get in close, trick and deceive, and then eliminate one victim at a time...",
0,977880,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/977880/header.jpg?t=1634649623,"Welcome to the charming world of Eastward - population declining! Journey through a society on the brink of collapse. Discover delightful towns, strange creatures and even stranger people! Wield a trusty frying pan and mystic powers on an adventure into the unknown…",82
