,steam_appid,categories,genres,header_image,short_description,meta
0,337320,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",Action,https://cdn.akamai.steamstatic.com/steam/apps/337320/header.jpg?t=1642548416,"Paint the Town Red is a chaotic first person melee combat game set in different locations and time periods. The voxel-based enemies can be punched, bashed, kicked, stabbed and sliced completely dynamically using almost anything that isn't nailed down.",
0,200710,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/200710/header.jpg?t=1597342077,"The adventure continues in Torchlight II! An Action RPG filled with epic battles, bountiful treasure, and a fully randomized world. Bring your friends along for the journey with online and LAN multiplayer.",88
0,684450,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/684450/header.jpg?t=1655395612,"Survive and thrive in a post-apocalyptic future — resources are scarce, but opportunity calls! Build the ultimate disaster proof colony, protect your colonists, and restore civilization to a devastated world.",
0,677120,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']",Action,https://cdn.akamai.steamstatic.com/steam/apps/677120/header.jpg?t=1575208810,Heroes of Hammerwatch is a rogue-lite action-adventure. Explore and battle your way through procedurally generated levels on your own or with up to 3 friends.,
0,238090,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/238090/header.jpg?t=1601483606,"Sniper Elite 3 is a tactical third-person shooter that combines stealth, gameplay choice and genre-defining ballistics with huge, open levels and the exotic terrain of World War 2 North Africa.",
0,736190,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Tablet']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/736190/header.jpg?t=1652165136,"In this casual sim set in China, you step into the shoes of an average kid from birth towards the end of your high school. Study hard, have fun, make friends and face your ultimate challenge, the “Gaokao”. What will your life be after that? And when you have a child, will you be a Tiger Parent?",
0,846770,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/846770/header.jpg?t=1652170181,Ascend from your shelter. Ruin everything. Escape the wretched island. ⚔️🔨🎣🌱🌵🍰 Explore. Fight. Level up. Survive. Gather. Craft. Harvest. Hunt. Build. Farm. Solve puzzles. Fish. Cook. Live. Enjoy the bittersweet post-apocalypse.,
0,858210,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/858210/header.jpg?t=1647333348,"Nova Drift distills the mechanical depth and strategy of an ARPG into classic arcade space combat. Control an endlessly evolving bio-mechanical ship, face legions of strange and deadly foes, and ride the wake of a dying star across the void.",
0,48190,"['Single-player', 'Multi-player', 'Partial Controller Support']",Action,https://cdn.akamai.steamstatic.com/steam/apps/48190/header.jpg?t=1657823056,Now Available on Mac! It’s time to join the Brotherhood.,88
0,553520,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Includes level editor']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/553520/header.jpg?t=1640841908,"Much more than just a train driving simulator. Build, drive and operate the railroad of your dreams with Trainz Railroad Simulator 2019.",
0,463530,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/463530/header_alt_assets_1.jpg?t=1657010008,"Empires of the Undergrowth is a fast-paced ant colony strategy game. Underground you excavate your nest, construct tunnels and chambers to store resources and raise your brood, then venture above ground. Here, your ants will claim territory, gather resources and overwhelm fearsome foes.",
0,347630,"['Multi-player', 'MMO']",Action,https://cdn.akamai.steamstatic.com/steam/apps/347630/header.jpg?t=1538534575,"It's time for a 16-bit beatdown! Enjoy the Card Game, Trials, chatting, and rockin' to some awesome music as you fight in retro-style battles up to 9v9! Also-- it's FREE!",
0,523660,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/523660/header.jpg?t=1653924683,We made your childhood dream game! Grab a friend and protect the Hypercore. Hypercharge is a solo and co-op wave-based first/third-person shooter with a small twist: you're an action figure! Explore. Defend. Survive.,
0,573100,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/573100/header.jpg?t=1654708455,"Battlefleet Gothic: Armada 2 is the new real-time strategy game adapted from Games Workshop’s famous tabletop game that portrays the epic space battles of the Warhammer 40,000 universe.",77
0,575890,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/575890/header.jpg?t=1513846923,Katy and Bob Way Back Home - help Katy and Bob to make the best cafe on the isle!,
0,213670,"['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/213670/header.jpg?t=1611584789,"From the perilous battlefields of the fourth-grade playground, a young hero will rise, destined to be South Park’s savior. From the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become… cool. Introducing South Park™: The Stick of Truth™.For a thousand years, the battle has been waged.",
0,330020,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/330020/header.jpg?t=1655980100,"Children of Morta is a story-driven action RPG game about an extraordinary family of heroes. Lead the Bergsons, with all their flaws and virtues, against the forthcoming Corruption. Will you be able to sacrifice everything to save the ones you care for?",82
