,steam_appid,name,tags
14,1085660,Destiny 2,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport inapppurchases remoteplayonphone remoteplayontablet remoteplayontv destiny 2 is an action mmo with a single evolving world that you and your friends can join anytime anywhere absolutely free bungie bungie freetoplay  openworld  fps  mmorpg  lootershooter  coop  pvp  pve  multiplayer  shooter  massivelymultiplayer  firstperson  loot  scifi  action  lorerich  adventure  space  competitive  atmospheric 
15,304930,Unturned,action singleplayer multiplayer pvp onlinepvp lanpvp coop onlinecoop lancoop steamachievements steamtradingcards steamworkshop inapppurchases steamcloud valveanticheatenabled stats includesleveleditor remoteplayontablet youre a survivor in the zombie infested ruins of society and must work with your friends and forge alliances to remain among the living smartlydressedgames smartlydressedgames sandbox  multiplayer  funny  blocks  boys  team 
16,236390,War Thunder,action singleplayer multiplayer mmo pvp onlinepvp coop onlinecoop crossplatformmultiplayer steamachievements fullcontrollersupport inapppurchases remoteplayonphone remoteplayontablet war thunder is the most comprehensive freetoplay crossplatform mmo military game dedicated to aviation armoured vehicles and naval craft from the early 20th century to the most advanced modern combat units join now and take part in major battles on land in the air and at sea gaijinentertainment gaijindistributionkft tanks  planes  war  fire  sky  clouds  fields  weapon  rackets 
17,648800,Raft,adventure singleplayer multiplayer coop onlinecoop steamachievements steamcloud raft throws you and your friends into an epic oceanic adventure alone or together players battle to survive a perilous voyage across a vast sea gather debris scavenge reefs and build your own floating home but be wary of the maneating sharks redbeetinteractive axolotgames survival  openworldsurvivalcraft  multiplayer  coop  crafting  openworld  building  basebuilding  onlinecoop  adventure  sandbox  firstperson  singleplayer  earlyaccess  underwater  simulation  action  indie  strategy  massivelymultiplayer 
18,413150,Stardew Valley,indie singleplayer multiplayer coop onlinecoop lancoop sharedsplitscreencoop sharedsplitscreen steamachievements fullcontrollersupport steamtradingcards steamcloud remoteplayonphone remoteplayontablet remoteplaytogether youve inherited your grandfathers old farm plot in stardew valley armed with handmedown tools and a few coins you set out to begin your new life can you learn to live off the land and turn these overgrown fields into a thriving home concernedape concernedape farmingsim  lifesim  pixelgraphics  multiplayer  rpg  relaxing  agriculture  simulation  crafting  sandbox  indie  building  singleplayer  casual  openworld  2d  cute  greatsoundtrack  datingsim  fishing 
19,1245620,ELDEN RING,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport steamtradingcards the new fantasy action rpg rise tarnished and be guided by grace to brandish the power of the elden ring and become an elden lord in the lands between fromsoftwareinc fromsoftwareincbandainamcoentertainment soulslike  darkfantasy  rpg  openworld  difficult  actionrpg  thirdperson  fantasy  multiplayer  singleplayer  onlinecoop  action  pvp  coop  violent  atmospheric  greatsoundtrack  3d  charactercustomization  familyfriendly 
20,381210,Dead by Daylight,action multijoueur pvp jcjenligne coopération coopérationenligne multijoueurmultiplateforme succèssteam compatcontrôleurscomplète cartesàéchangersteam steamcloud remoteplaysurtéléphone remoteplaysurtablette remoteplaysurtélévision dead by daylight est un jeu daction multijoueurs 4 contre 1 qui vous plonge dans une ambiance de film dhorreur chaque joueur peut jouer le rôle dun tueur sanguinaire pendant que les quatre autres tentent de lui échapper en évitant dêtre attrapé et tué behaviourinteractiveinc behaviourinteractiveinc horror  survivalhorror  multiplayer  onlinecoop  coop  survival  gore  teambased  blood  stealth  thirdperson  violent  firstperson  psychologicalhorror  action  atmospheric  strategy  comedy  mature  difficult 
21,359550,Tom Clancy's Rainbow Six Siege,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamtradingcards inapppurchases partialcontrollersupport remoteplayonphone remoteplayontablet tom clancys rainbow six siege is the latest installment of the acclaimed firstperson shooter franchise developed by the renowned ubisoft montreal studio ubisoftmontreal ubisoft fps  pvp  esports  shooter  multiplayer  tactical  competitive  onlinecoop  action  heroshooter  teambased  military  war  realistic  destruction  strategy  coop  firstperson  difficult  3d 
22,221100,DayZ,action multiplayer mmo pvp onlinepvp coop onlinecoop steamachievements steamworkshop steamcloud valveanticheatenabled how long can you survive a postapocalyptic world a land overrun with an infected quotzombiequot population where you compete with other survivors for limited resources will you team up with strangers and stay strong together or play as a lone wolf to avoid betrayal this is dayz  this is your story bohemiainteractive bohemiainteractive survival  zombies  multiplayer  openworld  action  pvp  shooter  massivelymultiplayer  horror  postapocalyptic  simulation  fps  earlyaccess  firstperson  survivalhorror  sandbox  adventure  coop  atmospheric  indie 
23,289070,Sid Meier’s Civilization VI,strategy singleplayer multiplayer pvp onlinepvp lanpvp sharedsplitscreenpvp sharedsplitscreen crossplatformmultiplayer steamachievements steamtradingcards steamworkshop steamturnnotifications remoteplayontablet remoteplaytogether civilization vi is the newest installment in the award winning civilization franchise expand your empire advance your culture and go headtohead against historys greatest leaders will your civilization stand the test of time firaxisgamesaspyrmacaspyrlinux kaspyrmacaspyrlinux strategy  turnbasedstrategy  multiplayer  historical  singleplayer  grandstrategy  turnbased  4x  war  simulation  citybuilder  tactical  building  management  greatsoundtrack  moddable  onlinecoop  coop  hexgrid  atmospheric 
24,218620,PAYDAY 2,action singleplayer multiplayer coop onlinecoop steamachievements fullcontrollersupport steamtradingcards inapppurchases steamcloud remoteplayonphone remoteplayontablet remoteplayontv payday 2 is an actionpacked fourplayer coop shooter that once again lets gamers don the masks of the original payday crew  dallas hoxton wolf and chains  as they descend on washington dc for an epic crime spree overkillastarbreezestudio starbreezepublishingab coop  action  fps  heist  lootershooter  multiplayer  onlinecoop  stealth  crime  shooter  teambased  firstperson  greatsoundtrack  guncustomization  tactical  pve  strategy  singleplayer  funny  simulation 
25,394360,Hearts of Iron IV,simulation singleplayer multiplayer coop crossplatformmultiplayer steamachievements steamtradingcards steamworkshop steamcloud remoteplayontablet victory is at your fingertips your ability to lead your nation is your supreme weapon the strategy game hearts of iron iv lets you take command of any nation in world war ii the most engaging conflict in world history paradoxdevelopmentstudio paradoxinteractive strategy  worldwarii  grandstrategy  war  historical  military  alternatehistory  multiplayer  simulation  tactical  realtimewithpause  singleplayer  rts  diplomacy  sandbox  coop  competitive  strategyrpg  openworld  action 
